region,province,milieu,type_centre,etat_centre,province_id
Casablanca-Settat,Mohammedia,Urbain,CSP,Opérationnel,MA-MOH
Casablanca-Settat,Mohammedia,Urbain,CSP A,Quasi-opérationnel,MA-MOH
Casablanca-Settat,Mohammedia,Urbain,CSP A,Opérationnel,MA-MOH
Casablanca-Settat,Mohammedia,Rural,CSP B,Quasi-opérationnel,MA-MOH
Casablanca-Settat,Mohammedia,Urbain,CSP A,Opérationnel,MA-MOH
Casablanca-Settat,Mohammedia,Rural,CSP B,Quasi-opérationnel,MA-MOH
Casablanca-Settat,Sidi Bennour,Urbain,CSP A,Opérationnel,MA-SIB
Casablanca-Settat,Sidi Bennour,Urbain,CSP A,Quasi-opérationnel,MA-SIB
Dakhla-Oued Ed-Dahab (EH),Aousserd,Rural,CSP B,Opérationnel,MA-AOU
Dakhla-Oued Ed-Dahab (EH),Oued Eddahab,Urbain,CSP B,Opérationnel,MA-OUD
Dakhla-Oued Ed-Dahab (EH),Oued Eddahab,Urbain,CSP B,Opérationnel,MA-OUD
Drâa-Tafilalet,Ouarzazate,Urbain,CSP A,Opérationnel,MA-OUA
Drâa-Tafilalet,Ouarzazate,Rural,CSP A,Opérationnel,MA-OUA
Drâa-Tafilalet,Ouarzazate,Rural,CSP A,Opérationnel,MA-OUA
Drâa-Tafilalet,Ouarzazate,Rural,CSP C,Opérationnel,MA-OUA
Drâa-Tafilalet,Ouarzazate,Rural,CSP C,Opérationnel,MA-OUA
Drâa-Tafilalet,Ouarzazate,Rural,CSP C,Opérationnel,MA-OUA
Drâa-Tafilalet,Ouarzazate,Rural,CSP C,Quasi-opérationnel,MA-OUA
Drâa-Tafilalet,Ouarzazate,Rural,CSP C,Opérationnel,MA-OUA
Drâa-Tafilalet,Ouarzazate,Rural,CSP C,Opérationnel,MA-OUA
Drâa-Tafilalet,Ouarzazate,Urbain,CSP C,Opérationnel,MA-OUA
Drâa-Tafilalet,Ouarzazate,Urbain,CSP C,Opérationnel,MA-OUA
Drâa-Tafilalet,Ouarzazate,Urbain,CSP C,Opérationnel,MA-OUA
Drâa-Tafilalet,TINGHIR,Urbain,CSP A,Opérationnel,MA-TIN
Drâa-Tafilalet,TINGHIR,Urbain,CSP A,Opérationnel,MA-TIN
Drâa-Tafilalet,TINGHIR,Rural,CSP A,Opérationnel,MA-TIN
Drâa-Tafilalet,ZAGORA,Rural,CSP C,Non opérationnel,MA-ZAG
Drâa-Tafilalet,ZAGORA,Urbain,CSP A,Opérationnel,MA-ZAG
Drâa-Tafilalet,ZAGORA,Urbain,CSP A,Opérationnel,MA-ZAG
Drâa-Tafilalet,Midelt,Rural,CSP,Non opérationnel,MA-MID
Drâa-Tafilalet,Midelt,Rural,CSP,Non opérationnel,MA-MID
Drâa-Tafilalet,Errachidia,Urbain,CSP B,Opérationnel,MA-ERR
