region,province,milieu,type_centre,propriete,superficie_m2,etat_centre,province_id
L'Oriental,Driouche,Rural,CSP C,Domaine Communal,1056,Opérationnel,MA-DRI
L'Oriental,Driouche,Rural,CSP C,Domaine Communal,1056,Opérationnel,MA-DRI
L'Oriental,Driouche,Rural,CSP C,Domaine Communal,1056,Opérationnel,MA-DRI
L'Oriental,Driouche,Rural,CSP C,Domaine Communal,1056,Opérationnel,MA-DRI
Guelmim-Oued Noun (EH-partial),Guelmim,Rural,CSP A,MJCC,2,Quasi-opérationnel,MA-GUE
Guelmim-Oued Noun (EH-partial),Guelmim,Rural,CSP A,MJCC,2,Quasi-opérationnel,MA-GUE
Guelmim-Oued Noun (EH-partial),Sidi Ifni,Urbain,CSP A,MJCC,4000,Opérationnel,MA-SIF
Guelmim-Oued Noun (EH-partial),Sidi Ifni,Rural,CSP A,MJCC,4000,Opérationnel,MA-SIF
Guelmim-Oued Noun (EH-partial),Sidi Ifni,Urbain,CSP A,MJCC,4000,Opérationnel,MA-SIF
Guelmim-Oued Noun (EH-partial),Tan-Tan,Urbain,CSP A,MJCC,2,Opérationnel,MA-TNT
Béni Mellal-Khénifra,Azilal,Rural,CSP C,Commune,2,Opérationnel,MA-AZI
Béni Mellal-Khénifra,Azilal,Rural,CSP C,Commune,2,Opérationnel,MA-AZI
Béni Mellal-Khénifra,Béni Mellal,Rural,CSP A,Commune,3303,Non opérationnel,MA-BEM
Béni Mellal-Khénifra,Fquih Ben Salah,Urbain,CSP C,Domaine Communal,3650,Opérationnel,MA-FQH
Béni Mellal-Khénifra,Khénifra,Rural,CSP A,MJCC,4000,Opérationnel,MA-KHN
Béni Mellal-Khénifra,Khénifra,Rural,CSP C,MJCC,2000,Non opérationnel,MA-KHN
Béni Mellal-Khénifra,KHOURIBGA,Urbain,CSP A,Commune,5540,Non opérationnel,MA-KHO
Béni Mellal-Khénifra,KHOURIBGA,Rural,CSP C,Commune,4200,Opérationnel,MA-KHO
